2017-06-07T13:08:35.121+0800 I CONTROL  [main] ***** SERVER RESTARTED *****
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] MongoDB starting : pid=9364 port=27019 dbpath=/Users/amit/mongo/replicaSet/mongo3/data/db 64-bit host=Amits-Air
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] db version v3.4.4
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] git version: 888390515874a9debd1b6c5d36559ca86b44babd
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2l  25 May 2017
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] allocator: system
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] modules: none
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] build environment:
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten]     distarch: x86_64
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2017-06-07T13:08:35.172+0800 I CONTROL  [initandlisten] options: { config: "/Users/amit/mongo/replicaSet/mongo3/conf.yml", net: { bindIp: "127.0.0.1", port: 27019 }, replication: { replSetName: "rs0" }, security: { keyFile: "/Users/amit/mongo/replicaSet/mongo3/keyfile.txt" }, storage: { dbPath: "/Users/amit/mongo/replicaSet/mongo3/data/db" }, systemLog: { destination: "file", logAppend: true, path: "/Users/amit/mongo/replicaSet/mongo3/mongo.log" } }
2017-06-07T13:08:35.173+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-06-07T13:08:35.508+0800 I CONTROL  [initandlisten] 
2017-06-07T13:08:35.508+0800 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2017-06-07T13:08:35.588+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/amit/mongo/replicaSet/mongo3/data/db/diagnostic.data'
2017-06-07T13:08:35.697+0800 I REPL     [initandlisten] Did not find local voted for document at startup.
2017-06-07T13:08:35.697+0800 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2017-06-07T13:08:35.698+0800 I NETWORK  [thread1] waiting for connections on port 27019
2017-06-07T13:24:06.250+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58090 #1 (1 connection now open)
2017-06-07T13:24:06.255+0800 I ACCESS   [conn1] note: no users configured in admin.system.users, allowing localhost access
2017-06-07T13:24:06.270+0800 I ACCESS   [conn1] Successfully authenticated as principal __system on local
2017-06-07T13:24:06.270+0800 I -        [conn1] end connection 127.0.0.1:58090 (1 connection now open)
2017-06-07T13:24:06.280+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58094 #2 (1 connection now open)
2017-06-07T13:24:06.284+0800 I NETWORK  [conn2] received client metadata from 127.0.0.1:58094 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.4" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.6.0" } }
2017-06-07T13:24:06.315+0800 I ACCESS   [conn2] Successfully authenticated as principal __system on local
2017-06-07T13:24:06.319+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27017
2017-06-07T13:24:06.550+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to localhost:27017, took 231ms (1 connections now open to localhost:27017)
2017-06-07T13:24:08.598+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58102 #3 (2 connections now open)
2017-06-07T13:24:08.623+0800 I ACCESS   [conn3] Successfully authenticated as principal __system on local
2017-06-07T13:24:08.623+0800 I -        [conn3] end connection 127.0.0.1:58102 (2 connections now open)
2017-06-07T13:24:08.685+0800 I REPL     [replExecDBWorker-0] Starting replication storage threads
2017-06-07T13:24:08.874+0800 I REPL     [replication-0] Starting initial sync (attempt 1 of 10)
